Posting Type,# Of Positions,Business Title,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit
External,2,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways
Internal,2,Civil Engineer 3,"Engineering, Architecture, & Planning",F,83887,113725,Annual,55 Water St Ny Ny,Bridges Roadways
External,2,GIS Analyst,"Engineering, Architecture, & Planning",F,59708,65678,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,2,GIS Analyst,"Engineering, Architecture, & Planning",F,59708,65678,Annual,96-05 Horace Harding Expway,Blue Belt Unit
External,1,GIS Technician,"Engineering, Architecture, & Planning",F,52194,60023,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,1,GIS Technician,"Engineering, Architecture, & Planning",F,52194,60023,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,1,DATA AND OPERATIONS ANALYST,Constituent Services & Community Programs,F,46818,62000,Annual,110 William St. N Y,Strategy & Analytics
External,1,DATA AND OPERATIONS ANALYST,Constituent Services & Community Programs,F,46818,62000,Annual,110 William St. N Y,Strategy & Analytics
External,5,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support
Internal,5,Civil Engineer 2,"Engineering, Architecture, & Planning",F,74990,104182,Annual,55 Water St Ny Ny,Engineering Review & Support
Internal,1,PROGRAM MANAGER,Constituent Services & Community Programs,F,50362,78177,Annual,Resident Engagement,Resident Engagement Dept
External,1,PROGRAM MANAGER,Constituent Services & Community Programs,F,50362,78177,Annual,Resident Engagement,Resident Engagement Dept
External,1,Investigator,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,54165,60178,Annual,80 Maiden Lane,OIG NYPD
Internal,1,Investigator,"Policy, Research & Analysis Public Safety, Inspections, & Enforcement",F,54165,60178,Annual,80 Maiden Lane,OIG NYPD
External,5,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,55 Water St Ny Ny,Bridges Roadways
Internal,5,Assistant Civil Engineer,"Engineering, Architecture, & Planning",F,53134,79726,Annual,55 Water St Ny Ny,Bridges Roadways
External,1,Payment Analyst,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,49390,71794,Annual,96-05 Horace Harding Expway,Capital Program Unit
Internal,1,Payment Analyst,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,49390,71794,Annual,96-05 Horace Harding Expway,Capital Program Unit
Internal,1,Senior Project Manager,"Engineering, Architecture, & Planning",F,67060,178873,Annual,Office for Exec Proj Manager,Project Mgmt Dept Team 1
External,1,Senior Project Manager,"Engineering, Architecture, & Planning",F,67060,178873,Annual,Office for Exec Proj Manager,Project Mgmt Dept Team 1
Internal,1,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,F,78429,78429,Annual,"1 Fordham Plaza, Bronx",SH Nursing Services & Prof Dev
External,1,Computer Systems Manager,"Technology, Data & Innovation",F,80000,85000,Annual,"100 Church St., N.Y.",Default
Internal,1,Computer Systems Manager,"Technology, Data & Innovation",F,80000,85000,Annual,"100 Church St., N.Y.",Default
Internal,1,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",Health,F,73576,73576,Annual,160 West 100Th Street Ny,SH Nursing Services & Prof Dev
Internal,1,Deputy General Counsel,Legal Affairs,F,75338,194395,Annual,Law-EVP,Law Department
External,1,Deputy General Counsel,Legal Affairs,F,75338,194395,Annual,Law-EVP,Law Department
External,5,MARINER,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,64040,64040,Annual,"Wards Island, N.Y.",Marine Section
Internal,5,MARINER,"Building Operations & Maintenance Public Safety, Inspections, & Enforcement",F,64040,64040,Annual,"Wards Island, N.Y.",Marine Section
Internal,1,Project Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,90418,Annual,59-17 Junction Blvd Corona Ny,BEPA/MS4-Muni Sepa Strm Sew Sy
External,1,Project Engineer,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,74990,90418,Annual,59-17 Junction Blvd Corona Ny,BEPA/MS4-Muni Sepa Strm Sew Sy
External,1,Salesforce Specialist,"Technology, Data & Innovation",F,54643,85000,Annual,"100 Church St., N.Y.",Default
Internal,3,Outreach Intern,"Constituent Services & Community Programs Policy, Research & Analysis",P,13.5,17.9,Hourly,"33 Beaver St, New York Ny",Office of External Affairs
External,3,Outreach Intern,"Constituent Services & Community Programs Policy, Research & Analysis",P,13.5,17.9,Hourly,"33 Beaver St, New York Ny",Office of External Affairs
Internal,50,Taxi and Limousine Inspector - Safety and Emissions,"Public Safety, Inspections, & Enforcement",F,38305,54018,Annual,24-55 Bklyn Qns Expy Woodside,Motor Vehicle Inspectors
External,50,Taxi and Limousine Inspector - Safety and Emissions,"Public Safety, Inspections, & Enforcement",F,38305,54018,Annual,24-55 Bklyn Qns Expy Woodside,Motor Vehicle Inspectors
External,5,Inspector,"Public Safety, Inspections, & Enforcement",F,47860,52000,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,5,Inspector,"Public Safety, Inspections, & Enforcement",F,47860,52000,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,1,Division Chief Asset and Construction Management,"Engineering, Architecture, & Planning",F,67060,178873,Annual,96-05 Horace Harding Expway,Administration
External,1,Civil Engineering Intern,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,1,Civil Engineering Intern,"Engineering, Architecture, & Planning",F,47860,52000,Annual,96-05 Horace Harding Expway,Blue Belt Unit
Internal,1,"Executive Director, Health Policy, Bureau of Primary Care Access & Planning","Health Policy, Research & Analysis",F,90084,130939,Annual,42-09 28th Street,CHECW - HEALTH INSURANCE
External,1,Division Chief Contracting and Budgeting,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,67060,178873,Annual,96-05 Horace Harding Expway,Administration
Internal,1,Division Chief Contracting and Budgeting,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,67060,178873,Annual,96-05 Horace Harding Expway,Administration
External,1,Plumbing Engineer,"Engineering, Architecture, & Planning",,74990,104182,Annual,Design-Engineering,Office Of Design
Internal,1,Plumbing Engineer,"Engineering, Architecture, & Planning",,74990,104182,Annual,Design-Engineering,Office Of Design
Internal,1,Division Chief Contracting and Budgeting,"Engineering, Architecture, & Planning Finance, Accounting, & Procurement",F,67060,178873,Annual,96-05 Horace Harding Expway,Administration
Internal,1,Logging & Recording Project Manager,"Technology, Data & Innovation",,54643,123600,Annual,15 Metrotech,Public Safety IT Programs
External,6,ENGINEERING TECHNICIAN 03,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,45617,67206,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring
Internal,6,ENGINEERING TECHNICIAN 03,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,45617,67206,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring
External,1,"EXECUTIVE DIRECTOR, REGULATORY REFORM",Constituent Services & Community Programs,F,67060,90000,Annual,110 William St. N Y,SB1 Regulatory Reform
Internal,1,"EXECUTIVE DIRECTOR, REGULATORY REFORM",Constituent Services & Community Programs,F,67060,90000,Annual,110 William St. N Y,SB1 Regulatory Reform
Internal,1,Mediation Coordinator,Communications & Intergovernmental Affairs,F,39370,59300,Annual,"100 Church St., N.Y.",Civilian Complaint Review Bd
External,1,Confidential Investigator,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,80 Maiden Lane,Default
Internal,1,Confidential Investigator,"Public Safety, Inspections, & Enforcement",F,41996,50000,Annual,80 Maiden Lane,Default
External,4,Civil Engineering Intern,"Engineering, Architecture, & Planning",F,47860,55039,Annual,96-05 Horace Harding Expway,Construction/Administration
Internal,4,Civil Engineering Intern,"Engineering, Architecture, & Planning",F,47860,55039,Annual,96-05 Horace Harding Expway,Construction/Administration
Internal,1,Civil Litigation General Litigation Agency Attorney Level III,Legal Affairs,F,73938,109153,Annual,Law Dept-Civil Litigation,Law Department
External,1,Civil Litigation General Litigation Agency Attorney Level III,Legal Affairs,F,73938,109153,Annual,Law Dept-Civil Litigation,Law Department
Internal,1,CAD and Records Manager,"Engineering, Architecture, & Planning",F,54197,81321,Annual,55 Water St Ny Ny,Design & Construction
External,1,CAD and Records Manager,"Engineering, Architecture, & Planning",F,54197,81321,Annual,55 Water St Ny Ny,Design & Construction
Internal,80,Sewage Treatment Worker,Building Operations & Maintenance,F,334.08,334.08,Daily,NYC - All Boroughs,Administration
External,80,Sewage Treatment Worker,Building Operations & Maintenance,F,334.08,334.08,Daily,NYC - All Boroughs,Administration
External,1,"EXECUTIVE DIRECTOR, IN-HOUSE DESIGN","Engineering, Architecture, & Planning Policy, Research & Analysis",F,75338,194395,Annual,96-05 Horace Harding Expway,Water Supply/Test Operatns W
Internal,1,"EXECUTIVE DIRECTOR, IN-HOUSE DESIGN","Engineering, Architecture, & Planning Policy, Research & Analysis",F,75338,194395,Annual,96-05 Horace Harding Expway,Water Supply/Test Operatns W
Internal,1,Engineering Technician IV,"Engineering, Architecture, & Planning",F,52194,60023,Annual,NYC - All Boroughs,Div of Field Op/Quality Assur
External,1,Engineering Technician IV,"Engineering, Architecture, & Planning",F,52194,60023,Annual,NYC - All Boroughs,Div of Field Op/Quality Assur
Internal,1,CCC Program Administrator,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
External,1,CCC Program Administrator,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,83887,113725,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
Internal,1,Agency Implementation and Support Program Evaluator,Social Services,F,61850,76745,Annual,"150 William Street, New York N",Title IV-E
Internal,1,Senior Construction Contract Analyst,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y.",Contract Administration
External,1,Senior Construction Contract Analyst,"Finance, Accounting, & Procurement",F,65000,75000,Annual,"1 Centre St., N.Y.",Contract Administration
Internal,1,Asset Management Specialist,"Technology, Data & Innovation",F,39797,45766,Annual,421 East 26th Street NY NY,OCME-Admin
Internal,1,Design Subject Matter Expert (SME),"Engineering, Architecture, & Planning",F,83887,113725,Annual,"28-11 Queens Plaza No., L.I.C.",Design & Construction
External,1,Design Subject Matter Expert (SME),"Engineering, Architecture, & Planning",F,83887,113725,Annual,"28-11 Queens Plaza No., L.I.C.",Design & Construction
External,1,Gardener 2,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
Internal,1,Gardener 2,Building Operations & Maintenance,F,51950,62446,Annual,"329 Greenpoint Ave., Brooklyn",WSO-OGI Maintenance
External,2,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O
Internal,2,Watershed Maintainer,Building Operations & Maintenance,F,38197,55870,Annual,164-21 110 Ave. Jamaica Queens,Stn (6) Ctrl Opr Ctr - Plt O
External,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway,EDC - Water For The Future
Internal,1,DEPUTY PORTFOLIO MANAGER,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,67060,178873,Annual,96-05 Horace Harding Expway,EDC - Water For The Future
Internal,1,Software Developer,"Technology, Data & Innovation",F,64657,74356,Annual,421 East 26th Street NY NY,OCME-Admin
Internal,1,Software Developer,"Technology, Data & Innovation",F,69618,80061,Annual,421 East 26th Street NY NY,OCME-Admin
External,1,Industrial Control Technician,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway,OIT/WT
Internal,1,Industrial Control Technician,"Technology, Data & Innovation",F,74395,116126,Annual,96-05 Horace Harding Expway,OIT/WT
Internal,1,Associate Water Use inspector,"Public Safety, Inspections, & Enforcement",F,64636,81498,Annual,"1932 Arthur Ave, Bronx",Sys Operations-Bx Mgmt Eng
Internal,1,"Deputy Chief, Industrial Pollution Prevention Unit","Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring
External,1,"Deputy Chief, Industrial Pollution Prevention Unit","Policy, Research & Analysis",F,61324,87489,Annual,"Wards Island, N.Y.",Drainage Basin Monitoring
Internal,1,Technical Assistant,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway,Concrete Quality Control
External,1,Technical Assistant,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,49390,71794,Annual,96-05 Horace Harding Expway,Concrete Quality Control
External,1,"EXECUTIVE DIRECTOR, CONSTRUCTION INDUSTRY PARTNERSHIP",Constituent Services & Community Programs,F,60435,130000,Annual,110 William St. N Y,Industry Partnerships
Internal,1,"EXECUTIVE DIRECTOR, CONSTRUCTION INDUSTRY PARTNERSHIP",Constituent Services & Community Programs,F,60435,130000,Annual,110 William St. N Y,Industry Partnerships
Internal,1,Community Assistant,Constituent Services & Community Programs,P,19,19,Hourly,"316 East 88 Street, New York N",Manhattan Community Board #8
External,1,Community Assistant,Constituent Services & Community Programs,P,19,19,Hourly,"316 East 88 Street, New York N",Manhattan Community Board #8
External,1,EVP for Real Estate,"Policy, Research & Analysis",F,99353,224749,Annual,Real Estate Development-SVP,EVP - R E Dev/Special Proj
Internal,1,EVP for Real Estate,"Policy, Research & Analysis",F,99353,224749,Annual,Real Estate Development-SVP,EVP - R E Dev/Special Proj
Internal,4,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,36239,47016,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
External,4,Engineering Technician I,"Public Safety, Inspections, & Enforcement",F,36239,47016,Annual,96-05 Horace Harding Expway,W   S/Connections Permitting
External,1,Policy Analyst,"Policy, Research & Analysis",F,47000,51902,Annual,"33 Beaver St, New York Ny",Office of Data & Technology
Internal,1,Policy Analyst,"Policy, Research & Analysis",F,47000,51902,Annual,"33 Beaver St, New York Ny",Office of Data & Technology
External,1,Software Architect,"Technology, Data & Innovation",F,95000,110000,Annual,"33 Beaver St, New York Ny",Management Information Systems
Internal,1,Software Architect,"Technology, Data & Innovation",F,95000,110000,Annual,"33 Beaver St, New York Ny",Management Information Systems
External,1,Quality Analyst - Digital Solutions,"Technology, Data & Innovation",F,75000,85000,Annual,"33 Beaver St, New York Ny",Management Information Systems
Internal,1,Quality Analyst - Digital Solutions,"Technology, Data & Innovation",F,75000,85000,Annual,"33 Beaver St, New York Ny",Management Information Systems
Internal,1,Computer Associate,"Technology, Data & Innovation",F,64657,89634,Annual,"100 Church St., N.Y.",Information Technology
Internal,1,Performance Analyst,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,87490,118610,Annual,96-05 Horace Harding Expway,Process Control
External,1,Performance Analyst,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,87490,118610,Annual,96-05 Horace Harding Expway,Process Control
